0,1,2,3,4,5,6,7,8,9,10,11,12,label
-446.36795,73.7893,1.5521721,40.626896,-8.449452,-2.9341395,-6.682203,-17.199314,-5.6114116,-13.4095125,-7.389321,6.837088,-10.4589,disgust
-383.37564,108.15568,-17.578176,15.888096,-8.954839,-9.38032,-12.016859,-13.081778,-9.660963,-2.8669865,-13.426402,-1.7332057,-9.557096,disgust
-404.0382,87.21107,0.4870197,22.224413,-8.599091,-9.224305,-10.208917,-17.926918,-14.550896,-6.7996244,-11.098693,-0.39634725,-7.1182303,disgust
-444.80597,67.52622,-3.808903,31.318573,-10.945968,5.2542925,-11.519508,-11.23068,-2.6466196,0.43512362,-9.274849,7.3132567,-2.4093115,disgust
-430.42755,118.75985,6.9652796,5.2049303,-8.617659,1.1264603,-6.2585406,-18.605228,-8.621775,0.8704284,-8.163346,-0.514206,-4.9180875,disgust
-452.0155,100.76413,5.724681,21.546263,-10.366856,3.5229564,-5.8605824,-17.884161,-6.1664577,-3.3979254,-8.208452,-0.29023537,-9.540357,disgust
-416.0424,128.77516,-1.3177999,-4.9439955,-24.020111,16.278877,0.55649406,-25.719408,2.982344,-2.058155,-6.357615,10.197525,-14.066927,disgust
-433.93402,67.45163,-2.1517794,11.692978,-15.818887,14.04683,-9.23673,-24.260096,-8.700018,3.3297951,-8.407109,7.5846124,-8.4333515,disgust
-437.82013,69.577705,-0.0026180095,44.816494,-12.518799,-4.0914326,-6.254941,-17.303892,-11.626422,-8.104972,-11.833707,2.6708307,-10.663438,disgust
-424.02618,90.488235,-2.3803256,32.529057,-9.147784,-10.665355,-11.709505,-10.990968,-6.079534,-7.461121,-7.5783873,2.6175687,-11.916681,disgust
-433.53085,116.626396,-1.7560165,21.63901,-3.3828957,0.32435238,-4.772187,-16.816372,-10.292597,-0.88961357,-10.776074,3.5693657,-11.749742,disgust
-417.49307,95.47916,8.8922825,24.799227,-20.280409,2.2604513,-2.8195965,-15.551529,-5.6502633,-3.4102516,-10.770284,3.0099344,-10.299752,disgust
-400.31958,81.09755,-16.299753,9.97261,-18.545721,5.9148064,-3.6841333,-12.883473,-8.223349,2.0289161,-3.971691,0.782232,-11.951575,disgust
-463.942,88.83183,-1.7418503,24.888144,-6.045829,3.8229592,-7.559077,-12.358974,-3.3748262,-0.05904424,-5.3679295,5.7700377,-5.3597803,disgust
-420.27542,120.82092,-6.8725953,7.6458273,-16.953793,4.5729837,-5.116874,-8.792009,-8.237329,2.8097029,-8.998803,4.6171546,-7.061705,disgust
-387.53076,98.60968,2.7317822,10.659913,-24.049126,3.102936,-4.464156,-9.933595,-8.747646,-1.7708135,-9.972601,-3.3428788,-10.514461,disgust
-405.3745,105.573746,-7.1998677,11.775077,-14.900258,8.717446,-8.447007,-19.656538,-9.164443,-1.8245623,-7.4121313,-3.565168,-9.8723345,disgust
-394.18976,89.69493,-17.31724,27.419285,-15.585446,6.1496086,-8.808171,-20.077902,-1.5067933,-0.778087,-9.217989,1.1884518,-10.017854,disgust
-371.72754,124.334656,-6.9875655,11.448035,-22.9091,-3.0226524,-0.7182291,-24.451307,-7.253812,3.97251,-10.901985,-2.495925,-6.521387,disgust
-410.39444,105.531944,-19.302887,4.760789,-14.041765,10.758263,-8.778793,-17.871359,-5.083184,-1.2838739,-7.4845734,-0.4098123,-12.594572,disgust
-418.51602,109.393906,-13.143911,8.2164345,-12.783545,10.653221,-11.525875,-24.46232,-0.20654209,-1.142216,-8.23046,3.1316094,-10.466446,disgust
-428.31503,122.406105,-6.519915,12.253342,-11.796531,3.993156,-7.8357587,-19.599754,-10.46259,-1.0554342,-12.528599,5.474366,-7.5994253,disgust
-430.4246,127.4939,1.5727346,0.83319795,-5.1368647,17.042974,-8.500195,-30.816187,-2.5826445,1.5258503,-9.294295,0.43465593,-9.588816,disgust
-457.91986,91.389534,6.4910216,34.547863,-4.5532093,-2.818071,0.5622018,-18.308586,-15.209309,-8.830491,-6.3208046,3.2538683,-12.417808,disgust
-445.00266,108.02552,-0.47705346,22.148666,-4.654108,5.0987353,-7.3834367,-23.154266,-8.7581415,-9.516076,-12.785156,1.6941218,-9.300419,disgust
-409.97083,70.41784,-4.340565,8.097632,-0.90470743,8.1976595,-9.355091,-12.648443,-6.1496053,6.546921,-12.071828,0.8622057,-8.413687,disgust
-403.79782,102.593414,-24.428728,12.367919,-13.972427,9.0215225,-3.6461027,-14.468781,-7.394808,3.7614748,-10.32033,-1.0568621,-8.539997,disgust
-374.51828,92.31544,-7.4680448,22.146187,-36.707893,1.1425551,6.611122,-20.168114,-3.6020236,-0.30713838,-11.09056,2.317187,-12.1851015,disgust
-453.90546,93.539986,9.032795,25.936451,-10.3973055,-3.6481295,-5.915006,-14.51079,-5.933747,-4.803683,-8.29443,2.9147077,-11.177979,disgust
-427.0305,76.465034,-3.5978045,39.79605,-9.346968,-0.322232,-6.032514,-15.24071,-7.1501794,-5.675409,-9.763029,3.2806132,-12.9075365,disgust
-443.2494,64.68406,13.261547,25.564047,-4.475181,-1.694188,-4.888549,-12.990972,-11.966229,-2.1111648,-9.486145,6.8968806,-9.511887,disgust
-420.0958,71.27699,-4.0331793,29.181767,-15.944597,8.617349,-6.951001,-17.347149,-3.2498298,1.8268522,-5.6108046,-0.14715914,-8.00878,disgust
-425.6734,88.44049,-6.3438406,35.913277,-10.138863,-0.7132092,-2.8818133,-18.21756,-7.978006,0.79636496,-12.071356,2.385643,-12.631466,disgust
-416.1119,104.715546,-14.774425,2.5316994,-16.599302,7.5926666,-7.4811244,-13.458007,-9.457839,0.20757663,-9.972756,-2.4500873,-6.8596077,disgust
-438.90717,97.849,-0.7785682,23.97193,-6.779556,-4.271952,-11.706758,-13.5736885,-4.2739005,-8.774296,-5.362515,6.656937,-13.538558,disgust
-389.73553,63.901512,9.189925,25.834795,-12.789254,-4.063768,-8.279959,-12.090618,-12.106674,-2.8092208,-9.628735,4.6745434,-5.410576,disgust
-394.65445,75.894745,-12.452937,31.606054,-10.968092,-9.841778,-14.226378,-9.520934,-3.8430545,-2.74236,-9.440559,6.509609,-5.720369,disgust
-403.53577,125.70065,10.698899,17.691948,-41.205704,-1.9905621,-2.5529232,-16.767942,-6.7990184,-0.9257895,-2.2712617,3.3019936,-12.213178,disgust
-422.95895,97.47822,-10.138106,19.302216,-13.175934,7.476584,-1.9302889,-21.951897,-4.224475,5.311833,-12.540589,3.4689121,-10.0713625,disgust
-405.30164,94.39902,-11.809569,8.375329,-19.245955,4.1225677,-1.4256089,-18.72168,-5.9525847,-2.8586261,-7.17774,2.4509888,-12.504031,disgust
