,0,1,2,3,4,5,6,7,8,9,10,11,12,label
0,-446.36795,73.7893,1.5521721,40.626896,-8.449452,-2.9341395,-6.682203,-17.199314,-5.6114116,-13.4095125,-7.389321,6.837088,-10.4589,disgust
1,-383.37564,108.15568,-17.578176,15.888096,-8.954839,-9.38032,-12.016859,-13.081778,-9.660963,-2.8669865,-13.426402,-1.7332057,-9.557096,disgust
2,-404.0382,87.21107,0.4870197,22.224413,-8.599091,-9.224305,-10.208917,-17.926918,-14.550896,-6.7996244,-11.098693,-0.39634725,-7.1182303,disgust
3,-444.80597,67.52622,-3.808903,31.318573,-10.945968,5.2542925,-11.519508,-11.23068,-2.6466196,0.43512362,-9.274849,7.3132567,-2.4093115,disgust
4,-430.42755,118.75985,6.9652796,5.2049303,-8.617659,1.1264603,-6.2585406,-18.605228,-8.621775,0.8704284,-8.163346,-0.514206,-4.9180875,disgust
5,-452.0155,100.76413,5.724681,21.546263,-10.366856,3.5229564,-5.8605824,-17.884161,-6.1664577,-3.3979254,-8.208452,-0.29023537,-9.540357,disgust
6,-416.0424,128.77516,-1.3177999,-4.9439955,-24.020111,16.278877,0.55649406,-25.719408,2.982344,-2.058155,-6.357615,10.197525,-14.066927,disgust
7,-433.93402,67.45163,-2.1517794,11.692978,-15.818887,14.04683,-9.23673,-24.260096,-8.700018,3.3297951,-8.407109,7.5846124,-8.4333515,disgust
8,-437.82013,69.577705,-0.0026180095,44.816494,-12.518799,-4.0914326,-6.254941,-17.303892,-11.626422,-8.104972,-11.833707,2.6708307,-10.663438,disgust
9,-424.02618,90.488235,-2.3803256,32.529057,-9.147784,-10.665355,-11.709505,-10.990968,-6.079534,-7.461121,-7.5783873,2.6175687,-11.916681,disgust
10,-433.53085,116.626396,-1.7560165,21.63901,-3.3828957,0.32435238,-4.772187,-16.816372,-10.292597,-0.88961357,-10.776074,3.5693657,-11.749742,disgust
11,-417.49307,95.47916,8.8922825,24.799227,-20.280409,2.2604513,-2.8195965,-15.551529,-5.6502633,-3.4102516,-10.770284,3.0099344,-10.299752,disgust
12,-400.31958,81.09755,-16.299753,9.97261,-18.545721,5.9148064,-3.6841333,-12.883473,-8.223349,2.0289161,-3.971691,0.782232,-11.951575,disgust
13,-463.942,88.83183,-1.7418503,24.888144,-6.045829,3.8229592,-7.559077,-12.358974,-3.3748262,-0.05904424,-5.3679295,5.7700377,-5.3597803,disgust
14,-420.27542,120.82092,-6.8725953,7.6458273,-16.953793,4.5729837,-5.116874,-8.792009,-8.237329,2.8097029,-8.998803,4.6171546,-7.061705,disgust
15,-387.53076,98.60968,2.7317822,10.659913,-24.049126,3.102936,-4.464156,-9.933595,-8.747646,-1.7708135,-9.972601,-3.3428788,-10.514461,disgust
16,-405.3745,105.573746,-7.1998677,11.775077,-14.900258,8.717446,-8.447007,-19.656538,-9.164443,-1.8245623,-7.4121313,-3.565168,-9.8723345,disgust
17,-394.18976,89.69493,-17.31724,27.419285,-15.585446,6.1496086,-8.808171,-20.077902,-1.5067933,-0.778087,-9.217989,1.1884518,-10.017854,disgust
18,-371.72754,124.334656,-6.9875655,11.448035,-22.9091,-3.0226524,-0.7182291,-24.451307,-7.253812,3.97251,-10.901985,-2.495925,-6.521387,disgust
19,-410.39444,105.531944,-19.302887,4.760789,-14.041765,10.758263,-8.778793,-17.871359,-5.083184,-1.2838739,-7.4845734,-0.4098123,-12.594572,disgust
20,-418.51602,109.393906,-13.143911,8.2164345,-12.783545,10.653221,-11.525875,-24.46232,-0.20654209,-1.142216,-8.23046,3.1316094,-10.466446,disgust
21,-428.31503,122.406105,-6.519915,12.253342,-11.796531,3.993156,-7.8357587,-19.599754,-10.46259,-1.0554342,-12.528599,5.474366,-7.5994253,disgust
